200
qstr_Careful... Careful...
qstr_{reg3} {reg3}
qstr_0 0
qstr__{s5}__{s6}_ ({s5},__{s6})
qstr___{reg43}__ (_{reg43}_)
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_You_still_neeed_to_w You_still_neeed_to_wait_{reg0}_seconds_for_the_next_artillery_strike
qstr_Artillery_Inbound! Artillery_Inbound!
qstr_In_presentation_{reg In_presentation,_{reg1}_,_{reg2}_,_{reg3}
qstr_F4___Movement_Orders F4_-_Movement_Orders^F5_-_Formation_Orders^F6_-_Fire_Orders
qstr_F4___Hold_this_posit F4_-_Hold_this_position^F5_-_Follow_me^F6_-_Charge^F7_-_Advance^F8_-_Halt^F9_-_Fall_back^F10_-_Retreat^F11_-_Slow_march^F12_-_Quick_march
qstr_F4___Form_line^F5___ F4_-_Form_line^F5_-_Form_column^F6_-_Form_square^F7_-_Skirmish_formation^F8_-_Wheel_left^F9_-_Wheel_right^F10_-_Adjust_facing
qstr_F4___Hold_fire^F5___ F4_-_Hold_fire^F5_-_Fire_at_will^F6_-_Volley_fire^F7_-_Fire_at_position^F8_-_Pick_your_targets
qstr_0000 00,00
qstr_Vienna Vienna
qstr_Austerlitz Austerlitz
qstr_Drezden Drezden
qstr_Quit Quit
qstr_Go_to_the_Camp Go_to_the_Camp
qstr_Continue_Campaign Continue_Campaign
qstr_{reg21}{reg22} {reg21},{reg22}
qstr_Back Back
qstr_Visit_the_camp Visit_the_camp
qstr_Companions Companions
qstr_Merchants Merchants
qstr_Skip Skip
qstr_Available_companions Available_companions
qstr_Selected_companions Selected_companions
qstr_Start_Mission Start_Mission
qstr_Choose_a_companion Choose_a_companion
qstr_Battle_Results Battle_Results
qstr_Count Count
qstr_Money Money
qstr_Enemies_killed: Enemies_killed:
qstr_{reg1} {reg1}
qstr_Personal_kills: Personal_kills:
qstr_Allies_lost: Allies_lost:
qstr__{reg1} -{reg1}
qstr_Companions_lost: Companions_lost:
qstr_Totals: Totals:
qstr_Retry Retry
qstr_Done Done
qstr_Refill_Rifle_Ammo Refill_Rifle_Ammo
qstr_Refill_Pistol_Ammo Refill_Pistol_Ammo
qstr_Refill_Bandages Refill_Bandages
qstr_Refill_Morphine Refill_Morphine
qstr_Leave_Menu Leave_Menu
qstr_Pick_up_Ammo_Box Pick_up_Ammo_Box
qstr_Refill_Light_Machine Refill_Light_Machinegun_Ammo
qstr_Grab_Heavy_Machinegu Grab_Heavy_Machinegun_Ammo
qstr_Refill_LMG_Ammo Refill_LMG_Ammo
qstr_Open_ze_Treasure Open_ze_Treasure
qstr_Refill_your_Ammo_&_R Refill_your_Ammo_&_Resupply
qstr_Call_the_Artillery Call_the_Artillery
qstr_Refill_MG_Ammo Refill_MG_Ammo
qstr_Refill_your_Ammo Refill_your_Ammo
qstr_View_Caimpaign_Map View_Caimpaign_Map
qstr_Unknown_command_issu Unknown_command_issued!
qstr_Value_of_is_bleeding Value_of_is_bleeding_in_script_is_{reg1}
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_You_ve_bandaged_{s0} You've_bandaged_{s0}'s_wounds._5_Bandages_remaining
qstr_{s0}_bandaged_your_w {s0}_bandaged_your_wounds.
qstr_{s0}_isn_t_wounded! {s0}_isn't_wounded!
qstr_You_ve_bandaged_{s0}_ You've_bandaged_{s0}'s_wounds._4_Bandages_remaining!
qstr_You_ve_bandaged_{s0}_s You've_bandaged_{s0}'s_wounds._3_Bandages_remaining!
qstr_You_ve_bandaged_{s0}_s_ You've_bandaged_{s0}'s_wounds._2_Bandages_remaining!
qstr_You_ve_bandaged_{s0}_s_w You've_bandaged_{s0}'s_wounds._1_Bandage_remaining!
qstr_You_ve_bandaged_{s0}_s_wo You've_bandaged_{s0}'s_wounds._You_run_out_of_bandages!
qstr_You_gave_{s0}_Morphi You_gave_{s0}_Morphine!_4_Morphine_Ampoules_remaining!
qstr_{s0}_gave_you_Morphi {s0}_gave_you_Morphine!
qstr_You_gave_{s0}_Morphin You_gave_{s0}_Morphine!_3_Morphine_Ampoules_remaining!
qstr_You_gave_{s0}_Morphine You_gave_{s0}_Morphine!_2_Morphine_Ampoules_remaining!
qstr_You_gave_{s0}_Morphine! You_gave_{s0}_Morphine!_1_Morphine_Ampoule_remaining!
qstr_You_gave_{s0}_Morphine!_ You_gave_{s0}_Morphine!_You_run_out_of_Morphine_Ampoules!
qstr_{s0}_doesn_t_need_Mo {s0}_doesn't_need_Morphine!
qstr_You_need_to_be_a_gen You_need_to_be_a_general_in_order_to_call_artillery
qstr_Centre_Inf Centre_Inf
qstr_Lflank_Inf Lflank_Inf
qstr_Rflank_Inf Rflank_Inf
qstr_Centre_Cav Centre_Cav
qstr_Lflank_Cav Lflank_Cav
qstr_Rflank_Cav Rflank_Cav
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_[SERVER]:_{s4} [SERVER]:_{s4}
qstr_vFloraWindStrength vFloraWindStrength
qstr_vWaterWindStrength vWaterWindStrength
qstr_THISISAPLACEHOLDERST THISISAPLACEHOLDERSTRING
qstr_{s32}_hold_this_posi {s32},_hold_this_position!
qstr_{s32}_follow_me! {s32},_follow_me!
qstr_{s32}_charge! {s32},_charge!
qstr_{s32}_advance! {s32},_advance!
qstr_{s32}_halt! {s32},_halt!
qstr_{s32}_fall_back! {s32},_fall_back!
qstr_{s32}_retreat! {s32},_retreat!
qstr_{s32}_slow_pace! {s32},_slow_pace!
